id,title,vendor,product_type,status,handle
9314546909404,"'- 135 Series Chroma PL Circular Polarizer Filter W/Peter Mckinnon – Enhanced Color Saturation & Glare Reduction for DSLR, Mirrorless & Cinema Cameras – Premium Threaded Lens Filter - 77Mm","GSMPRO.CL","","draft","135-series-chroma-pl-circular-polarizer-filter-w-peter-mckinnon-enhanced-color-saturation-glare-reduction-for-dslr-mirrorless-cinema-cameras-premium-threaded-lens-filter-77mm"
9314547695836,"'- Shortstache - Everyday - 1/4 Strength Black Mist - 67Mm - Camera Filter - in Collaboration with Garett King","GSMPRO.CL","","draft","shortstache-everyday-1-4-strength-black-mist-67mm-camera-filter-in-collaboration-with-garett-king"
9314567651548,", Cinch Book Binding Machine 2, Pink/White, Easy to Use Design with Slide Ruler, Compatible with Wire or Spiral Coils, Make Professional Books, Notebooks, Calendars and More","Cinch","Encuadernadora Manual","draft","cinch-book-binding-machine-2-pink-white-easy-to-use-design-with-slide-ruler-compatible-with-wire-or-spiral-coils-make-professional-books-notebooks-calendars-and-more"
9314578268380,", Steamer for Clothes, Access Steam Handheld Steamer, 15 Second Heatup, 4 Ounce Capacity, 1150 Watts, Portable, Ironing, Travel Must Have, White Clothes Steamer, DR3030","GSMPRO.CL","","draft","steamer-for-clothes-access-steam-handheld-steamer-15-second-heatup-4-ounce-capacity-1150-watts-portable-ironing-travel-must-have-white-clothes-steamer-dr3030"
9314583838940,"015 Professional Cordless Hair Clippers for Men, 9000 RPM Vector Motor Hair Trimmer Dlc-Blade Barber Clipper for Hair Cutting with Metal Body, 1 Modular Lid in Black, Travel Case","GSMPRO.CL","","draft","015-professional-cordless-hair-clippers-for-men-9000-rpm-vector-motor-hair-trimmer-dlc-blade-barber-clipper-for-hair-cutting-with-metal-body-1-modular-lid-in-black-travel-case"
9314583773404,"015 Professional Cordless Hair Clippers for Men, 9000 RPM Vector Motor Hair Trimmer Dlc-Blade Barber Clipper for Hair Cutting with Metal Body, 1 Modular Lid in Black, Travel Case (Copy)","GSMPRO.CL","","active","015-professional-cordless-hair-clippers-for-men-9000-rpm-vector-motor-hair-trimmer-dlc-blade-barber-clipper-for-hair-cutting-with-metal-body-1-modular-lid-in-black-travel-case-copy"
9314718318812,"1/2X Music Interphone Bluetooth 5.3 Motorcycle Helmet Intercom Headset Waterproof 300M Intercomunicador Speaker Earphone","GSMPRO.CL","","draft","1-2x-music-interphone-bluetooth-5-3-motorcycle-helmet-intercom-headset-waterproof-300m-intercomunicador-speaker-earphone"
9314718056668,"10.26 Inch Portable Wireless Carplay Screen HD Rear Reversing Camera Car Radio DVR MP5 Multimedia Video Player Android Auto","GSMPRO.CL","","draft","10-26-inch-portable-wireless-carplay-screen-hd-rear-reversing-camera-car-radio-dvr-mp5-multimedia-video-player-android-auto"
9314584854748,"100W Bi-Color Portable LED Video Light W DC Power Adapter, 111Wh Build-In Battery Metal Mini Adjustable Color Temperature COB Continuous Output Lighting Handheld Spotlight 2700K-6500K for Video","GSMPRO.CL","","draft","100w-bi-color-portable-led-video-light-w-dc-power-adapter-111wh-build-in-battery-metal-mini-adjustable-color-temperature-cob-continuous-output-lighting-handheld-spotlight-2700k-6500k-for-video"
9314577809628,"114Cm Invisible Selfie Stick for X5 / X4 / X3","GSMPRO.CL","","draft","114cm-invisible-selfie-stick-for-x5-x4-x3"
9314674933980,"13R, 12GB RAM + 256GB Storage, Dual-Sim, Unlocked Android Smartphone, Powered by Snapdragon 8 Gen 3, 55W SUPERVOOC Fast Charging, 2025, Nebula Noir","Oneplus","","active","13r-12gb-ram-256gb-storage-dual-sim-unlocked-android-smartphone-powered-by-snapdragon-8-gen-3-55w-supervooc-fast-charging-2025-nebula-noir"
9314663137500,"14 PromaX telefono copia  16+512GB Android 13.0 with 128G","GSMPRO.CL","","draft","14-promax-16-512gb-android-13-0-with-128g"
9314714943708,"15.6"" Dual Portable Monitor for Laptop Screen Extender 1080P HDR 360° Folding Stacked Triple Monitor with Stand for PC","GSMPRO.CL","","draft","15-6-dual-portable-monitor-for-laptop-screen-extender-1080p-hdr-360-folding-stacked-triple-monitor-with-stand-for-pc"
9314663203036,"15Promax telefono copia 5G Phone 12+512GB","GSMPRO.CL","","draft","15promax-5g-phone-12-512gb"
9314663006428,"16PROMAX telefono copia  ,16+512Gb","GSMPRO.CL","","draft","16promax-16-512gb"
9314709012700,"200G Tri Colors Silk PLA Filament 3D Printing Filament for 3D Printer Pen Diameter 1.75Mm Tolerance ±0.03Mm Impresora 3D Printer","GSMPRO.CL","","draft","200g-tri-colors-silk-pla-filament-3d-printing-filament-for-3d-printer-pen-diameter-1-75mm-tolerance-0-03mm-impresora-3d-printer"
9314533376220,"2026 AI Glasses Style Smart Glasses with Gemini3 Flash, Real-Time Translation,12Mp Camera, Open-Ear Audio, Voice-Controlled Assistant, Hands-Free Calls, Productivity for Travel, Work(No Display)","GSMPRO.CL","","draft","2026-ai-glasses-style-smart-glasses-with-gemini3-flash-real-time-translation-12mp-camera-open-ear-audio-voice-controlled-assistant-hands-free-calls-productivity-for-travel-workno-display"
9314715697372,"3D Printer FDM Series Impresora 3D Drucker  KOBRA 2 NEO Pro plus Max Full Metal Frame Large Format 3D Printer","GSMPRO.CL","","draft","3d-printer-fdm-series-impresora-3d-drucker-kobra-2-neo-pro-plus-max-full-metal-frame-large-format-3d-printer"
9314586132700,"40W Bi-Color Portable Video Light, 5000Mah Rechargeable LED Camera Light, Battery, 8 Scene Modes, 2700-6500K Mini Studio Lighting for Youtube, Vlogging, Live Streaming, Photography","GSMPRO.CL","","draft","40w-bi-color-portable-video-light-5000mah-rechargeable-led-camera-light-battery-8-scene-modes-2700-6500k-mini-studio-lighting-for-youtube-vlogging-live-streaming-photography"
9314584232156,"40W Pro Portable LED Video Light with DC Power Adapter, 3400Mah Build-In Battery Metal Mini Dual Color Temperature COB Continuous Output Lighting Handheld Spotlight 2500K-6500K for Video","GSMPRO.CL","","draft","40w-pro-portable-led-video-light-with-dc-power-adapter-3400mah-build-in-battery-metal-mini-dual-color-temperature-cob-continuous-output-lighting-handheld-spotlight-2500k-6500k-for-video"
9314584789212,"40W Pro RGB Portable LED Video Light W DC Power Adapter, 3400Mah Build-In Battery Metal Mini Adjustable Color Temperature COB Continuous Output Lighting Handheld Spotlight 2500K-6500K for Video","Ulanzi","","draft","40w-pro-rgb-portable-led-video-light-w-dc-power-adapter-3400mah-build-in-battery-metal-mini-adjustable-color-temperature-cob-continuous-output-lighting-handheld-spotlight-2500k-6500k-for-video"
9314582692060,"5.0 Coreknit – Comfortable, Versatile, Performance Knit Fitness Accessory for Health, Fitness, & Wellness Wearable – Not Compatible with Gen 4","GSMPRO.CL","","draft","5-0-coreknit-comfortable-versatile-performance-knit-fitness-accessory-for-health-fitness-wellness-wearable-not-compatible-with-gen-4"
9314583052508,"5.0/MG Activity Tracker - 12 Month Membership - Health and Fitness Wearable – 24/7 Activity and Sleep Tracker, Personalized Coaching, Menstrual Cycle Insights – 14+ Days Battery Life","GSMPRO.CL","","draft","5-0-mg-activity-tracker-12-month-membership-health-and-fitness-wearable-24-7-activity-and-sleep-tracker-personalized-coaching-menstrual-cycle-insights-14-days-battery-life"
9314581971164,"5.0/MG Basic Charger – Portable, Waterproof Charger. Not Compatible with 4.0","GSMPRO.CL","","draft","5-0-mg-basic-charger-portable-waterproof-charger-not-compatible-with-4-0"
9314582528220,"5.0/MG Leatherluxe Band – Genuine Italian Leather Accessory for Health, Fitness, & Wellness Wearable – Not Compatible with Gen 4","GSMPRO.CL","","draft","5-0-mg-leatherluxe-band-genuine-italian-leather-accessory-for-health-fitness-wellness-wearable-not-compatible-with-gen-4"
9314582036700,"5.0/MG Sportflex – Waterproof, Sweatproof, Silicone Accessory for Health, Fitness, & Wellness Wearable – Not Compatible with Gen 4","GSMPRO.CL","","draft","5-0-mg-sportflex-waterproof-sweatproof-silicone-accessory-for-health-fitness-wellness-wearable-not-compatible-with-gen-4"
9314582790364,"5.0/MG Superknit Luxe – Performance Accessory for Health, Fitness, & Wellness Wearable – Premium Metals – Not Compatible with Gen 4","GSMPRO.CL","","draft","5-0-mg-superknit-luxe-performance-accessory-for-health-fitness-wellness-wearable-premium-metals-not-compatible-with-gen-4"
9314582954204,"5.0/MG Superknit – Signature Performance Knit Accessory for Health, Fitness, & Wellness Wearable – Not Compatible with Gen 4","GSMPRO.CL","","draft","5-0-mg-superknit-signature-performance-knit-accessory-for-health-fitness-wellness-wearable-not-compatible-with-gen-4"
9314548711644,"5.5 Inch 1200Nits 4Kp30 HDMI Video Field Monitor, 10Bit HDR Daylight Viewable 1920 X 1080 Portable Monitor Recorder, Hot Shoe Mount, Battery, Sunshine Hood","GSMPRO.CL","","draft","5-5-inch-1200nits-4kp30-hdmi-video-field-monitor-10bit-hdr-daylight-viewable-1920-x-1080-portable-monitor-recorder-hot-shoe-mount-battery-sunshine-hood"
9314550808796,"5.5 Inch Portable On-Camera Monitor, 4K Touchscreen HDMI Video Field Monitor, 1920×1080 Wide Viewing, Sunshade Hood, HDMI in and Outputs, 3D Luts (White)","GSMPRO.CL","","draft","5-5-inch-portable-on-camera-monitor-4k-touchscreen-hdmi-video-field-monitor-1920-1080-wide-viewing-sunshade-hood-hdmi-in-and-outputs-3d-luts-white"
9314715631836,"5M 5/10/20 Colors 3D Pen Refills Pla 3D Pen Printing Cables Filament Printing Materials High Precision Printer Cable Mate","GSMPRO.CL","","draft","5m-5-10-20-colors-3d-pen-refills-pla-3d-pen-printing-cables-filament-printing-materials-high-precision-printer-cable-mate"
9314548482268,"6"" Camera Field Monitor, 2000Nit HD 1920X1080 Touch Screen Portable Video Monitor, 4K HDMI Loop In/Out with 3D LUT, De-Squeeze, Peak Focus, with Sunshade Hood","GSMPRO.CL","","draft","6-camera-field-monitor-2000nit-hd-1920x1080-touch-screen-portable-video-monitor-4k-hdmi-loop-in-out-with-3d-lut-de-squeeze-peak-focus-with-sunshade-hood"
9314797125852,"70ma Pack de componentes reemplazables para Lite D08","70mai","Cámaras para Auto","active","70ma-pack-de-componentes-reemplazables-para-lite-d08"
9314832023772,"70mai - Smart Dash Cam 1S - Cámara para auto - MIDRIVE D06","70mai","Cámaras para Auto","draft","70mai-smart-dash-cam-1s-midrive-d06"
9314703409372,"70mai Dash Cam 200 (PARA HACER COMPRA)","70mai","Cámaras para Auto","draft","70mai-dash-cam-200-para-hacer-compra"
9314807939292,"70mai Dash Cam 4k A800S - Cámara para auto","70mai","Cámaras para Auto","draft","70mai-dash-cam-4k-a800s"
9314820227292,"70mai Dash Cam 4K A800S - Cámara para auto + Dash Cam Trasera RC06","70mai","Cámaras para Auto","draft","70mai-dash-cam-pro-a800s-camara-trasera-rc06"
9314801385692,"70mai Dash Cam A400 + Cámara Trasera 70mai RC09","70mai","Cámaras para Auto","active","70mai-dash-cam-a400-camara-trasera"
9314828353756,"70mai Dash Cam Lite - Cámara para auto - Midrive D08","70mai","Cámaras para Auto","active","70mai-dash-cam-lite-camara-para-auto-midrive-d08"
9314807185628,"70mai Dash Cam Lite 2 - Cámara para auto","70mai","Cámaras para Auto","active","70mai-dash-cam-lite-2"
9314801516764,"70mai Dash Cam M300","70mai","Cámaras para Auto","draft","70mai-dash-cam-m300"
9314801615068,"70mai Dash Cam Omni 360°","70mai","Cámaras para Auto","active","70mai-dash-cam-omni-360"
9314831401180,"70mai Dash Cam Pro A500","70mai","Cámaras para Auto","draft","70mai-dash-cam-pro-plus-a500"
9314807808220,"70mai Dash Cam Pro Plus A500S - Cámara para auto","70mai","Cámaras para Auto","active","70mai-dash-cam-pro-plus-a500s"
9314826223836,"70mai Dash Cam Pro Plus+ A500S + Cámara trasera 70mai RC06","70mai","Cámaras para Auto","draft","70mai-dash-cam-pro-a500s-camara-trasera-70mai-rc06"
9314828517596,"70mai Jump Starter - Partidor de Bateria Auto","70mai","Accesorios para Auto","active","70mai-jump-starter-midrive-ps01"
9314806333660,"70mai Jump Starter Max - Partidor de Bateria Auto","70mai","Accesorios para Auto","active","70mai-jump-starter-max"
9314800763100,"70mai Kit de Cableado UP03 para Dash Cam M500 y Omni","70mai","Cámaras para Auto","draft","70mai-kit-de-cableado-para-dash-cam-m500-omni"
9314800730332,"70mai Modulo GPS Externo para 70mai Cam Lite2","70mai","Cámaras para Auto","active","70mai-modulo-gps-externo"
9314800566492,"70mai Pack de componentes reemplazables para A500S","70mai","Cámaras para Auto","active","70mai-pack-de-componentes-reemplazables-para-a500s"
9314800500956,"70mai Pack de componentes reemplazables para A800S","70mai","Cámaras para Auto","draft","70mai-pack-de-componentes-reemplazables-para-a800s"
